pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
"Nikmati DOUBLE kuota PROMO 10GB(4G) di jaringan Data terkuat, UNLIMITED Nelp&SMS. 24JAM, dgn pkt Freedom Combo. Tekan *123# atau indosatooredoo.com/freedom",Penipuan,Berisiko,"nikmati double kuota promo 10gb(4g) di jaringan data terkuat, unlimited nelp&sms. 24jam, dgn pkt freedom combo. tekan *123# atau indosatooredoo.com/freedom","['nikmati', 'double', 'kuota', 'promo', 'gb', 'g', 'di', 'jaringan', 'data', 'terkuat', 'unlimited', 'nelp', 'sms', 'jam', 'dgn', 'pkt', 'freedom', 'combo', 'tekan', 'atau', 'indosatooredoo', 'com', 'freedom']","['nikmati', 'double', 'kuota', 'promo', 'gb', 'jaringan', 'data', 'terkuat', 'unlimited', 'nelp', 'sms', 'jam', 'dgn', 'pkt', 'freedom', 'combo', 'tekan', 'indosatooredoo', 'com', 'freedom']","['nikmat', 'double', 'kuota', 'promo', 'gb', 'jaring', 'data', 'kuat', 'unlimited', 'nelp', 'sms', 'jam', 'dgn', 'pkt', 'freedom', 'combo', 'tekan', 'indosatooredoo', 'com', 'freedom']",nikmat double kuota promo gb jaring data kuat unlimited nelp sms jam dgn pkt freedom combo tekan indosatooredoo com freedom
Nikmati EKSTRA PULSA 100% dgn isi ulang min. 50rb HANYA di aplikasi MyTelkomsel menggunakan T-Cash! Download di http://tsel.me/1 Promo s/d 11 Agst 2016,Penipuan,Berisiko,nikmati ekstra pulsa 100% dgn isi ulang min. 50rb hanya di aplikasi mytelkomsel menggunakan t-cash! download di http://tsel.me/1 promo s/d 11 agst 2016,"['nikmati', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'hanya', 'di', 'aplikasi', 'mytelkomsel', 'menggunakan', 't', 'cash', 'download', 'di', 'URL_CURIGA', 'promo', 's', 'd', 'agst']","['nikmati', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'aplikasi', 'mytelkomsel', 'menggunakan', 'cash', 'download', 'URL_CURIGA', 'promo', 'agst']","['nikmat', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'aplikasi', 'mytelkomsel', 'guna', 'cash', 'download', 'URL_CURIGA', 'promo', 'agst']",nikmat ekstra pulsa dgn isi ulang min rb aplikasi mytelkomsel guna cash download URL_CURIGA promo agst
Nikmati EKSTRA PULSA 50% dgn isi ulang min. 100rb HANYA di aplikasi MyTelkomsel menggunakan Kartu Kredit VISA! Download di http://tsel.me/1 Promo s/d 11 Agst 16,Penipuan,Berisiko,nikmati ekstra pulsa 50% dgn isi ulang min. 100rb hanya di aplikasi mytelkomsel menggunakan kartu kredit visa! download di http://tsel.me/1 promo s/d 11 agst 16,"['nikmati', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'hanya', 'di', 'aplikasi', 'mytelkomsel', 'menggunakan', 'kartu', 'kredit', 'visa', 'download', 'di', 'URL_CURIGA', 'promo', 's', 'd', 'agst']","['nikmati', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'aplikasi', 'mytelkomsel', 'menggunakan', 'kartu', 'kredit', 'visa', 'download', 'URL_CURIGA', 'promo', 'agst']","['nikmat', 'ekstra', 'pulsa', 'dgn', 'isi', 'ulang', 'min', 'rb', 'aplikasi', 'mytelkomsel', 'guna', 'kartu', 'kredit', 'visa', 'download', 'URL_CURIGA', 'promo', 'agst']",nikmat ekstra pulsa dgn isi ulang min rb aplikasi mytelkomsel guna kartu kredit visa download URL_CURIGA promo agst
Nikmati EXTRA 2GB 4G LTE + EXTRA kuota hingga 1GB midnight dg beli pkt FLASH 1GB/30hr mulai Rp 43rb di *363*49# Cek tarif di tsel.me/FL SKB,Penipuan,Berisiko,nikmati extra 2gb 4g lte + extra kuota hingga 1gb midnight dg beli pkt flash 1gb/30hr mulai rp 43rb di *363*49# cek tarif di tsel.me/fl skb,"['nikmati', 'extra', 'gb', 'g', 'lte', 'extra', 'kuota', 'hingga', 'gb', 'midnight', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'di', 'cek', 'tarif', 'di', 'tsel', 'me', 'fl', 'skb']","['nikmati', 'extra', 'gb', 'lte', 'extra', 'kuota', 'hingga', 'gb', 'midnight', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'cek', 'tarif', 'tsel', 'me', 'fl', 'skb']","['nikmat', 'extra', 'gb', 'lte', 'extra', 'kuota', 'hingga', 'gb', 'midnight', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'cek', 'tarif', 'tsel', 'me', 'fl', 'skb']",nikmat extra gb lte extra kuota hingga gb midnight dg beli pkt flash gb hr mulai NOMINAL_UANG cek tarif tsel me fl skb
Nikmati EXTRA 2GB 4G LTE + EXTRA voucher belanja hingga 100rb dg beli pkt FLASH 1GB/30hr mulai Rp 43rb di *363*49# Cek tarif di tsel.me/FL SKB,Penipuan,Berisiko,nikmati extra 2gb 4g lte + extra voucher belanja hingga 100rb dg beli pkt flash 1gb/30hr mulai rp 43rb di *363*49# cek tarif di tsel.me/fl skb,"['nikmati', 'extra', 'gb', 'g', 'lte', 'extra', 'voucher', 'belanja', 'hingga', 'rb', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'di', 'cek', 'tarif', 'di', 'tsel', 'me', 'fl', 'skb']","['nikmati', 'extra', 'gb', 'lte', 'extra', 'voucher', 'belanja', 'hingga', 'rb', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'cek', 'tarif', 'tsel', 'me', 'fl', 'skb']","['nikmat', 'extra', 'gb', 'lte', 'extra', 'voucher', 'belanja', 'hingga', 'rb', 'dg', 'beli', 'pkt', 'flash', 'gb', 'hr', 'mulai', 'NOMINAL_UANG', 'cek', 'tarif', 'tsel', 'me', 'fl', 'skb']",nikmat extra gb lte extra voucher belanja hingga rb dg beli pkt flash gb hr mulai NOMINAL_UANG cek tarif tsel me fl skb
NIKMATI INDOSAT SUPER 3G+ utk Internetan ckp 10rb/minggu dpt Kuota 225MB(50MB+Bonus 175MB jam 00-06)Kecepatan hgg3.6Mbps.tekan *123*4*1*1# syarat berlaku hub:100,Penipuan,Berisiko,nikmati indosat super 3g+ utk internetan ckp 10rb/minggu dpt kuota 225mb(50mb+bonus 175mb jam 00-06)kecepatan hgg3.6mbps.tekan *123*4*1*1# syarat berlaku hub:100,"['nikmati', 'indosat', 'super', 'g', 'utk', 'internetan', 'ckp', 'rb', 'minggu', 'dpt', 'kuota', 'mb', 'mb', 'bonus', 'mb', 'jam', 'kecepatan', 'hgg', 'mbps', 'tekan', 'syarat', 'berlaku', 'hub']","['nikmati', 'indosat', 'super', 'utk', 'internetan', 'ckp', 'rb', 'minggu', 'dpt', 'kuota', 'mb', 'mb', 'bonus', 'mb', 'jam', 'kecepatan', 'hgg', 'mbps', 'tekan', 'syarat', 'berlaku', 'hub']","['nikmat', 'indosat', 'super', 'utk', 'internetan', 'ckp', 'rb', 'minggu', 'dpt', 'kuota', 'mb', 'mb', 'bonus', 'mb', 'jam', 'cepat', 'hgg', 'mbps', 'tekan', 'syarat', 'laku', 'hub']",nikmat indosat super utk internetan ckp rb minggu dpt kuota mb mb bonus mb jam cepat hgg mbps tekan syarat laku hub
"Nikmati kemudahan pembayaran iuran BPJS dgn TCASH. Cukup hubungi *800#, pilih menu pembayaran ATAU gunakan app T-Wallet di smartphone Android dan iPhone.",Penipuan,Berisiko,"nikmati kemudahan pembayaran iuran bpjs dgn tcash. cukup hubungi *800#, pilih menu pembayaran atau gunakan app t-wallet di smartphone android dan iphone.","['nikmati', 'kemudahan', 'pembayaran', 'iuran', 'bpjs', 'dgn', 'tcash', 'cukup', 'hubungi', 'pilih', 'menu', 'pembayaran', 'atau', 'gunakan', 'app', 't', 'wallet', 'di', 'smartphone', 'android', 'dan', 'iphone']","['nikmati', 'kemudahan', 'pembayaran', 'iuran', 'bpjs', 'dgn', 'tcash', 'cukup', 'hubungi', 'pilih', 'menu', 'pembayaran', 'gunakan', 'app', 'wallet', 'smartphone', 'android', 'iphone']","['nikmat', 'mudah', 'bayar', 'iur', 'bpjs', 'dgn', 'tcash', 'cukup', 'hubung', 'pilih', 'menu', 'bayar', 'guna', 'app', 'wallet', 'smartphone', 'android', 'iphone']",nikmat mudah bayar iur bpjs dgn tcash cukup hubung pilih menu bayar guna app wallet smartphone android iphone
Nikmati nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo internetan sepuasnya 3 hari dengan paket Freedom Mini. ketik *123*88#,Penipuan,Berisiko,nikmati nelpon dan sms unlimited ke sesama indosat ooredoo internetan sepuasnya 3 hari dengan paket freedom mini. ketik *123*88#,"['nikmati', 'nelpon', 'dan', 'sms', 'unlimited', 'ke', 'sesama', 'indosat', 'ooredoo', 'internetan', 'sepuasnya', 'hari', 'dengan', 'paket', 'freedom', 'mini', 'ketik']","['nikmati', 'nelpon', 'sms', 'unlimited', 'sesama', 'indosat', 'ooredoo', 'internetan', 'sepuasnya', 'hari', 'paket', 'freedom', 'mini', 'ketik']","['nikmat', 'nelpon', 'sms', 'unlimited', 'sama', 'indosat', 'ooredoo', 'internetan', 'puas', 'hari', 'paket', 'freedom', 'mini', 'ketik']",nikmat nelpon sms unlimited sama indosat ooredoo internetan puas hari paket freedom mini ketik
Nikmati nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,Penipuan,Berisiko,nikmati nelpon dan sms unlimited ke sesama indosat ooredoo internetan sepuasnya 3 hari dengan paket ramadhan unlimited. ketik *123*88#,"['nikmati', 'nelpon', 'dan', 'sms', 'unlimited', 'ke', 'sesama', 'indosat', 'ooredoo', 'internetan', 'sepuasnya', 'hari', 'dengan', 'paket', 'ramadhan', 'unlimited', 'ketik']","['nikmati', 'nelpon', 'sms', 'unlimited', 'sesama', 'indosat', 'ooredoo', 'internetan', 'sepuasnya', 'hari', 'paket', 'ramadhan', 'unlimited', 'ketik']","['nikmat', 'nelpon', 'sms', 'unlimited', 'sama', 'indosat', 'ooredoo', 'internetan', 'puas', 'hari', 'paket', 'ramadhan', 'unlimited', 'ketik']",nikmat nelpon sms unlimited sama indosat ooredoo internetan puas hari paket ramadhan unlimited ketik
Nomor Anda telah diisi dengan nomor SN 6081606122581198060.,Penipuan,Berisiko,nomor anda telah diisi dengan nomor sn 6081606122581198060.,"['nomor', 'anda', 'telah', 'diisi', 'dengan', 'nomor', 'sn']","['nomor', 'diisi', 'nomor', 'sn']","['nomor', 'isi', 'nomor', 'sn']",nomor isi nomor sn
"Nomor kamu tidak memiliki Paket NetMax. Dapatkan Paket NetMax 5.5GB dan 7GB melalui hape *123#, aplikasi BimaTri, atau website tri.co.id.",Penipuan,Berisiko,"nomor kamu tidak memiliki paket netmax. dapatkan paket netmax 5.5gb dan 7gb melalui hape *123#, aplikasi bimatri, atau website tri.co.id.","['nomor', 'kamu', 'tidak', 'memiliki', 'paket', 'netmax', 'dapatkan', 'paket', 'netmax', 'gb', 'dan', 'gb', 'melalui', 'hape', 'aplikasi', 'bimatri', 'atau', 'website', 'tri', 'co', 'id']","['nomor', 'memiliki', 'paket', 'netmax', 'dapatkan', 'paket', 'netmax', 'gb', 'gb', 'melalui', 'hape', 'aplikasi', 'bimatri', 'website', 'tri', 'co', 'id']","['nomor', 'milik', 'paket', 'netmax', 'dapat', 'paket', 'netmax', 'gb', 'gb', 'lalu', 'hape', 'aplikasi', 'bimatri', 'website', 'tri', 'co', 'id']",nomor milik paket netmax dapat paket netmax gb gb lalu hape aplikasi bimatri website tri co id
Nomormu memang yang paling beruntung: Tes Identitas tersedia untukmu! Menangkan pulsa Rp10rb pada tes ke-30. Kirim SMS Y ke 99455 sekarang! Info:838 VD001,Penipuan,Berisiko,nomormu memang yang paling beruntung: tes identitas tersedia untukmu! menangkan pulsa rp10rb pada tes ke-30. kirim sms y ke 99455 sekarang! info:838 vd001,"['nomormu', 'memang', 'yang', 'paling', 'beruntung', 'tes', 'identitas', 'tersedia', 'untukmu', 'menangkan', 'pulsa', 'NOMINAL_UANG', 'pada', 'tes', 'ke', 'kirim', 'sms', 'y', 'ke', 'KODE_OTP', 'sekarang', 'info', 'vd']","['nomormu', 'memang', 'paling', 'beruntung', 'tes', 'identitas', 'tersedia', 'untukmu', 'menangkan', 'pulsa', 'NOMINAL_UANG', 'tes', 'kirim', 'sms', 'KODE_OTP', 'sekarang', 'info', 'vd']","['nomor', 'memang', 'paling', 'untung', 'tes', 'identitas', 'sedia', 'untuk', 'menang', 'pulsa', 'NOMINAL_UANG', 'tes', 'kirim', 'sms', 'KODE_OTP', 'sekarang', 'info', 'vd']",nomor memang paling untung tes identitas sedia untuk menang pulsa NOMINAL_UANG tes kirim sms KODE_OTP sekarang info vd
Pakai handphone XL Axiata mu langsung bisa internetan pakai XL,Penipuan,Berisiko,pakai handphone xl axiata mu langsung bisa internetan pakai xl,"['pakai', 'handphone', 'xl', 'axiata', 'mu', 'langsung', 'bisa', 'internetan', 'pakai', 'xl']","['pakai', 'handphone', 'xl', 'axiata', 'langsung', 'internetan', 'pakai', 'xl']","['pakai', 'handphone', 'xl', 'axiata', 'langsung', 'internetan', 'pakai', 'xl']",pakai handphone xl axiata langsung internetan pakai xl
Pakai XL tdk perlu repot setting bisa langsung internetan. Yuk aktifkan paket Internet di My.XL.co.id sekarang.,Penipuan,Berisiko,pakai xl tdk perlu repot setting bisa langsung internetan. yuk aktifkan paket internet di my.xl.co.id sekarang.,"['pakai', 'xl', 'tdk', 'perlu', 'repot', 'setting', 'bisa', 'langsung', 'internetan', 'yuk', 'aktifkan', 'paket', 'internet', 'di', 'my', 'xl', 'co', 'id', 'sekarang']","['pakai', 'xl', 'tdk', 'perlu', 'repot', 'setting', 'langsung', 'internetan', 'yuk', 'aktifkan', 'paket', 'internet', 'my', 'xl', 'co', 'id', 'sekarang']","['pakai', 'xl', 'tdk', 'perlu', 'repot', 'setting', 'langsung', 'internetan', 'yuk', 'aktif', 'paket', 'internet', 'my', 'xl', 'co', 'id', 'sekarang']",pakai xl tdk perlu repot setting langsung internetan yuk aktif paket internet my xl co id sekarang
Paket 1.5GB berhasil diaktifkan. Restart hape kamu utk dpt menikmati kuota internetan selama 90hari. Cek sisa kuota di *557*8#,Penipuan,Berisiko,paket 1.5gb berhasil diaktifkan. restart hape kamu utk dpt menikmati kuota internetan selama 90hari. cek sisa kuota di *557*8#,"['paket', 'gb', 'berhasil', 'diaktifkan', 'restart', 'hape', 'kamu', 'utk', 'dpt', 'menikmati', 'kuota', 'internetan', 'selama', 'hari', 'cek', 'sisa', 'kuota', 'di']","['paket', 'gb', 'berhasil', 'diaktifkan', 'restart', 'hape', 'utk', 'dpt', 'menikmati', 'kuota', 'internetan', 'selama', 'hari', 'cek', 'sisa', 'kuota']","['paket', 'gb', 'hasil', 'aktif', 'restart', 'hape', 'utk', 'dpt', 'nikmat', 'kuota', 'internetan', 'lama', 'hari', 'cek', 'sisa', 'kuota']",paket gb hasil aktif restart hape utk dpt nikmat kuota internetan lama hari cek sisa kuota
Paket Anda sudah di non-aktifkan atas permintaan Anda. Penggunaan Internet anda akan di kenakan Tariff Dasar Internet sesuai skema tariff kartu Anda. Hubungi *363# untuk aktifkan Paket Internet lainnya. Info lebih lanjut www.telkomsel.com,Penipuan,Berisiko,paket anda sudah di non-aktifkan atas permintaan anda. penggunaan internet anda akan di kenakan tariff dasar internet sesuai skema tariff kartu anda. hubungi *363# untuk aktifkan paket internet lainnya. info lebih lanjut www.telkomsel.com,"['paket', 'anda', 'sudah', 'di', 'non', 'aktifkan', 'atas', 'permintaan', 'anda', 'penggunaan', 'internet', 'anda', 'akan', 'di', 'kenakan', 'tariff', 'dasar', 'internet', 'sesuai', 'skema', 'tariff', 'kartu', 'anda', 'hubungi', 'untuk', 'aktifkan', 'paket', 'internet', 'lainnya', 'info', 'lebih', 'lanjut', 'www', 'telkomsel', 'com']","['paket', 'non', 'aktifkan', 'atas', 'permintaan', 'penggunaan', 'internet', 'kenakan', 'tariff', 'dasar', 'internet', 'sesuai', 'skema', 'tariff', 'kartu', 'hubungi', 'aktifkan', 'paket', 'internet', 'lainnya', 'info', 'lebih', 'lanjut', 'www', 'telkomsel', 'com']","['paket', 'non', 'aktif', 'atas', 'minta', 'guna', 'internet', 'kena', 'tariff', 'dasar', 'internet', 'sesuai', 'skema', 'tariff', 'kartu', 'hubung', 'aktif', 'paket', 'internet', 'lain', 'info', 'lebih', 'lanjut', 'www', 'telkomsel', 'com']",paket non aktif atas minta guna internet kena tariff dasar internet sesuai skema tariff kartu hubung aktif paket internet lain info lebih lanjut www telkomsel com
"PAKET BRONET 24JAM 15MB 1hr sudah aktif. Nikmati 15MB berlaku di 00-23.59 aktif s.d 28-08-2016. Promo AXIS lainnya, telp *123#. Info838",Penipuan,Berisiko,"paket bronet 24jam 15mb 1hr sudah aktif. nikmati 15mb berlaku di 00-23.59 aktif s.d 28-08-2016. promo axis lainnya, telp *123#. info838","['paket', 'bronet', 'jam', 'mb', 'hr', 'sudah', 'aktif', 'nikmati', 'mb', 'berlaku', 'di', 'aktif', 's', 'd', 'promo', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'jam', 'mb', 'hr', 'aktif', 'nikmati', 'mb', 'berlaku', 'aktif', 'promo', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'jam', 'mb', 'hr', 'aktif', 'nikmat', 'mb', 'laku', 'aktif', 'promo', 'axis', 'lain', 'telp', 'info']",paket bronet jam mb hr aktif nikmat mb laku aktif promo axis lain telp info
"PAKET BRONET 24JAM 2GB 60hr Rp28800 akan segera aktif. Temukan penawaran menarik AXIS lainnya, telp *123#.Info838",Penipuan,Berisiko,"paket bronet 24jam 2gb 60hr rp28800 akan segera aktif. temukan penawaran menarik axis lainnya, telp *123#.info838","['paket', 'bronet', 'jam', 'gb', 'hr', 'NOMINAL_UANGakan', 'segera', 'aktif', 'temukan', 'penawaran', 'menarik', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'jam', 'gb', 'hr', 'NOMINAL_UANGakan', 'segera', 'aktif', 'temukan', 'penawaran', 'menarik', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'jam', 'gb', 'hr', 'nominal uangakan', 'segera', 'aktif', 'temu', 'tawar', 'tarik', 'axis', 'lain', 'telp', 'info']",paket bronet jam gb hr nominal uangakan segera aktif temu tawar tarik axis lain telp info
"Paket BRONET 2GB 60hr 24jam sudah aktif. Nikmati internet 2GB berlaku hingga jam 23.59 aktif s.d 27-10-2016. Promo AXIS lainnya, telp *123#. Info838",Penipuan,Berisiko,"paket bronet 2gb 60hr 24jam sudah aktif. nikmati internet 2gb berlaku hingga jam 23.59 aktif s.d 27-10-2016. promo axis lainnya, telp *123#. info838","['paket', 'bronet', 'gb', 'hr', 'jam', 'sudah', 'aktif', 'nikmati', 'internet', 'gb', 'berlaku', 'hingga', 'jam', 'aktif', 's', 'd', 'promo', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'gb', 'hr', 'jam', 'aktif', 'nikmati', 'internet', 'gb', 'berlaku', 'hingga', 'jam', 'aktif', 'promo', 'axis', 'lainnya', 'telp', 'info']","['paket', 'bronet', 'gb', 'hr', 'jam', 'aktif', 'nikmat', 'internet', 'gb', 'laku', 'hingga', 'jam', 'aktif', 'promo', 'axis', 'lain', 'telp', 'info']",paket bronet gb hr jam aktif nikmat internet gb laku hingga jam aktif promo axis lain telp info
Paket Flash anda 10 MB utk 1 hari akan berakhir pd 08/07/2016. Tarif non paket berlaku setelah tgl tsb. Info hubungi *363#. Cek Kuota *889#.,Penipuan,Berisiko,paket flash anda 10 mb utk 1 hari akan berakhir pd 08/07/2016. tarif non paket berlaku setelah tgl tsb. info hubungi *363#. cek kuota *889#.,"['paket', 'flash', 'anda', 'mb', 'utk', 'hari', 'akan', 'berakhir', 'pd', 'tarif', 'non', 'paket', 'berlaku', 'setelah', 'tgl', 'tsb', 'info', 'hubungi', 'cek', 'kuota']","['paket', 'flash', 'mb', 'utk', 'hari', 'berakhir', 'pd', 'tarif', 'non', 'paket', 'berlaku', 'tgl', 'tsb', 'info', 'hubungi', 'cek', 'kuota']","['paket', 'flash', 'mb', 'utk', 'hari', 'akhir', 'pd', 'tarif', 'non', 'paket', 'laku', 'tgl', 'tsb', 'info', 'hubung', 'cek', 'kuota']",paket flash mb utk hari akhir pd tarif non paket laku tgl tsb info hubung cek kuota
"Paket Internet BRONET 24 JAM 2GB, 60hr Kamu sudah aktif & otomatis diperpanjang 27-10-2016 jam 23:59. Info838",Penipuan,Berisiko,"paket internet bronet 24 jam 2gb, 60hr kamu sudah aktif & otomatis diperpanjang 27-10-2016 jam 23:59. info838","['paket', 'internet', 'bronet', 'jam', 'gb', 'hr', 'kamu', 'sudah', 'aktif', 'otomatis', 'diperpanjang', 'jam', 'info']","['paket', 'internet', 'bronet', 'jam', 'gb', 'hr', 'aktif', 'otomatis', 'diperpanjang', 'jam', 'info']","['paket', 'internet', 'bronet', 'jam', 'gb', 'hr', 'aktif', 'otomatis', 'panjang', 'jam', 'info']",paket internet bronet jam gb hr aktif otomatis panjang jam info
"Paket Internet spesial buat kamu. Internetan selama seminggu dgn kuota 1,5GB Cuma Rp10rb! Ayo segera Ketik KEBUT kirim ke 919 sd 29 Juli 2015. Jgn lupa ya",Penipuan,Berisiko,"paket internet spesial buat kamu. internetan selama seminggu dgn kuota 1,5gb cuma rp10rb! ayo segera ketik kebut kirim ke 919 sd 29 juli 2015. jgn lupa ya","['paket', 'internet', 'spesial', 'buat', 'kamu', 'internetan', 'selama', 'seminggu', 'dgn', 'kuota', 'gb', 'cuma', 'NOMINAL_UANG', 'ayo', 'segera', 'ketik', 'kebut', 'kirim', 'ke', 'sd', 'juli', 'jgn', 'lupa', 'ya']","['paket', 'internet', 'spesial', 'buat', 'internetan', 'selama', 'seminggu', 'dgn', 'kuota', 'gb', 'cuma', 'NOMINAL_UANG', 'ayo', 'segera', 'ketik', 'kebut', 'kirim', 'sd', 'juli', 'jgn', 'lupa']","['paket', 'internet', 'spesial', 'buat', 'internetan', 'lama', 'minggu', 'dgn', 'kuota', 'gb', 'cuma', 'NOMINAL_UANG', 'ayo', 'segera', 'ketik', 'kebut', 'kirim', 'sd', 'juli', 'jgn', 'lupa']",paket internet spesial buat internetan lama minggu dgn kuota gb cuma NOMINAL_UANG ayo segera ketik kebut kirim sd juli jgn lupa
Paket Super Murah 2 pcs c strip/1 Ayam sayap+nasi+teh pucuk Rp.15.909.Tukarkan SMS ini di CFC YOGYA SUBANG hari ini!Selama persediaan masih ada.Promo *606#,Penipuan,Berisiko,paket super murah 2 pcs c strip/1 ayam sayap+nasi+teh pucuk rp.15.909.tukarkan sms ini di cfc yogya subang hari ini!selama persediaan masih ada.promo *606#,"['paket', 'super', 'murah', 'pcs', 'c', 'strip', 'ayam', 'sayap', 'nasi', 'teh', 'pucuk', 'rp', 'tukarkan', 'sms', 'ini', 'di', 'cfc', 'yogya', 'subang', 'hari', 'ini', 'selama', 'persediaan', 'masih', 'ada', 'promo']","['paket', 'super', 'murah', 'pcs', 'strip', 'ayam', 'sayap', 'nasi', 'teh', 'pucuk', 'rp', 'tukarkan', 'sms', 'cfc', 'yogya', 'subang', 'hari', 'selama', 'persediaan', 'promo']","['paket', 'super', 'murah', 'pcs', 'strip', 'ayam', 'sayap', 'nasi', 'teh', 'pucuk', 'rp', 'tukar', 'sms', 'cfc', 'yogya', 'subang', 'hari', 'lama', 'sedia', 'promo']",paket super murah pcs strip ayam sayap nasi teh pucuk rp tukar sms cfc yogya subang hari lama sedia promo
"Paket super Ngebut 3.5GB, 30hr, Rp25rb Anda sudah aktif. Nikmati 500MB di 12.00:24.00 & 3G di 00:00-12:00 di 3G. Diperpanjang pada 11-Mar-2013 jam 23:59. Info 817",Penipuan,Berisiko,"paket super ngebut 3.5gb, 30hr, rp25rb anda sudah aktif. nikmati 500mb di 12.00:24.00 & 3g di 00:00-12:00 di 3g. diperpanjang pada 11-mar-2013 jam 23:59. info 817","['paket', 'super', 'ngebut', 'gb', 'hr', 'NOMINAL_UANG', 'anda', 'sudah', 'aktif', 'nikmati', 'mb', 'di', 'g', 'di', 'di', 'g', 'diperpanjang', 'pada', 'mar', 'jam', 'info']","['paket', 'super', 'ngebut', 'gb', 'hr', 'NOMINAL_UANG', 'aktif', 'nikmati', 'mb', 'diperpanjang', 'mar', 'jam', 'info']","['paket', 'super', 'ngebut', 'gb', 'hr', 'NOMINAL_UANG', 'aktif', 'nikmat', 'mb', 'panjang', 'mar', 'jam', 'info']",paket super ngebut gb hr NOMINAL_UANG aktif nikmat mb panjang mar jam info
Paket Tsel Flash akan berakhir tgl 07/08/2016. Akan diperpanjang dg 10 MB utk 1 hari dengan harga 2500 dpt berubah sesuai lokasi anda .  Pastikan pulsa anda mencukupi. Utk berhenti berlangganan Ketik FLASH OFF ke 3636. Info detail tariff lihat di Tsel.me/internet,Penipuan,Berisiko,paket tsel flash akan berakhir tgl 07/08/2016. akan diperpanjang dg 10 mb utk 1 hari dengan harga 2500 dpt berubah sesuai lokasi anda .  pastikan pulsa anda mencukupi. utk berhenti berlangganan ketik flash off ke 3636. info detail tariff lihat di tsel.me/internet,"['paket', 'tsel', 'flash', 'akan', 'berakhir', 'tgl', 'akan', 'diperpanjang', 'dg', 'mb', 'utk', 'hari', 'dengan', 'harga', 'dpt', 'berubah', 'sesuai', 'lokasi', 'anda', 'pastikan', 'pulsa', 'anda', 'mencukupi', 'utk', 'berhenti', 'berlangganan', 'ketik', 'flash', 'off', 'ke', 'info', 'detail', 'tariff', 'lihat', 'di', 'tsel', 'me', 'internet']","['paket', 'tsel', 'flash', 'berakhir', 'tgl', 'diperpanjang', 'dg', 'mb', 'utk', 'hari', 'harga', 'dpt', 'berubah', 'sesuai', 'lokasi', 'pastikan', 'pulsa', 'mencukupi', 'utk', 'berhenti', 'berlangganan', 'ketik', 'flash', 'off', 'info', 'detail', 'tariff', 'lihat', 'tsel', 'me', 'internet']","['paket', 'tsel', 'flash', 'akhir', 'tgl', 'panjang', 'dg', 'mb', 'utk', 'hari', 'harga', 'dpt', 'ubah', 'sesuai', 'lokasi', 'pasti', 'pulsa', 'cukup', 'utk', 'henti', 'langgan', 'ketik', 'flash', 'off', 'info', 'detail', 'tariff', 'lihat', 'tsel', 'me', 'internet']",paket tsel flash akhir tgl panjang dg mb utk hari harga dpt ubah sesuai lokasi pasti pulsa cukup utk henti langgan ketik flash off info detail tariff lihat tsel me internet
Pelanggan Yth. Update informasi tarif terbaru anda di tsel.me/as atau hubungi 188 (Rp 300/call).,Penipuan,Berisiko,pelanggan yth. update informasi tarif terbaru anda di tsel.me/as atau hubungi 188 (rp 300/call).,"['pelanggan', 'yth', 'update', 'informasi', 'tarif', 'terbaru', 'anda', 'di', 'tsel', 'me', 'as', 'atau', 'hubungi', 'NOMINAL_UANG', 'call']","['pelanggan', 'yth', 'update', 'informasi', 'tarif', 'terbaru', 'tsel', 'me', 'as', 'hubungi', 'NOMINAL_UANG', 'call']","['langgan', 'yth', 'update', 'informasi', 'tarif', 'baru', 'tsel', 'me', 'as', 'hubung', 'NOMINAL_UANG', 'call']",langgan yth update informasi tarif baru tsel me as hubung NOMINAL_UANG call
